outlet_name,outlet_address,category,item_order,item_name,item_description,price,is_veg,image_url,action_label,raw_text,source_url,scraped_at
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Party Box,1,Party Box (Veg)-Serves 2,"Celebrate together with our indulgent Party Box! BBQ Honey Chilli Pineapple (8 Pcs) + Dal Makhani + Paneer Lababdar (6 Pcs) + Peas Pulao + Angoori Gulab Jamun (6 Pcs) + Butter Garlic Naan (2 Nos). A complete, flavour-packed meal crafted Celebrate together with our indulgent Party Box! BBQ Honey Chilli Pineapple (8 Pcs) + Dal Makhani + Paneer Lababdar (6 Pcs) + Peas Pulao + Angoori Gulab Jamun (6 Pcs) + Butter Garlic Naan (2 Nos). A complete, flavour-packed meal crafted",₹749/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/02/13/391218c5-a207-4f62-bdd7-1166137952d1..jpg,Add,"AddParty Box (Veg)-Serves 2Celebrate together with our indulgent Party Box! BBQ Honey Chilli Pineapple (8 Pcs) + Dal Makhani + Paneer Lababdar (6 Pcs) + Peas Pulao + Angoori Gulab Jamun (6 Pcs) + Butter Garlic Naan (2 Nos). A complete, flavour-packed meal crafted Celebrate together with our indulgent Party Box! BBQ Honey Chilli Pineapple (8 Pcs) + Dal Makhani + Paneer Lababdar (6 Pcs) + Peas Pulao + Angoori Gulab Jamun (6 Pcs) + Butter Garlic Naan (2 Nos). A complete, flavour-packed meal craftedRead more₹749/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Party Box,2,Party Box (Non Veg)-Serves 2,"Celebrate together with our indulgent Party Box! Enjoy BBQ Honey Chilli Pineapple (8 Pcs) + Dal Makhani + Chicken Lababdar (6 Pcs) + Peas Pulao + Angoori Gulab Jamun (6 Pcs) + Butter Garlic Naan (2 Nos). A complete, flavour-packed meal crafted perfectly for two.",₹779/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/02/13/486a0f8f-73ea-429d-8902-c21ebbef9228..jpg,Add,"AddParty Box (Non Veg)-Serves 2Celebrate together with our indulgent Party Box! Enjoy BBQ Honey Chilli Pineapple (8 Pcs) + Dal Makhani + Chicken Lababdar (6 Pcs) + Peas Pulao + Angoori Gulab Jamun (6 Pcs) + Butter Garlic Naan (2 Nos). A complete, flavour-packed meal crafted perfectly for two.Read more₹779/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",MINI RICE BOWLS,3,Rajma Mini Rice Bowl,Rajma Mini Rice Bowl,₹179/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/06/06/44bb22c8-d73a-401d-b5ac-24dab0cb85ea..png,Add,AddRajma Mini Rice BowlRajma Mini Rice Bowl ₹179/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",MINI RICE BOWLS,4,Dal Makhani Mini Rice Bowl,Dal Makhani Mini Rice Bowl,₹159/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/06/06/807f7b0e-9b20-4085-a735-6d1c976ffeea..png,Add,AddDal Makhani Mini Rice BowlDal Makhani Mini Rice Bowl ₹159/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",MINI RICE BOWLS,5,Chole Mini Rice Bowl,Chole Mini Rice Bowl,₹169/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/06/06/9dabd194-beee-44e2-b086-be311da60d99..png,Add,AddChole Mini Rice BowlChole Mini Rice Bowl ₹169/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",MINI RICE BOWLS,6,Paneer Butter Masala Mini Rice Bowl,Paneer Butter Masala Mini Rice Bowl,₹189/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/06/06/510bbff7-7b32-4989-95f6-f4201c92485d..png,Add,AddPaneer Butter Masala Mini Rice BowlPaneer Butter Masala Mini Rice Bowl ₹189/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",MINI RICE BOWLS,7,Butter Chicken Mini Rice Bowl,Butter Chicken Mini Rice Bowl,₹199/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2026/06/06/b7831434-63b7-4729-af6a-2ac5365f5dc0..png,Add,AddButter Chicken Mini Rice BowlButter Chicken Mini Rice Bowl ₹199/-DetailsADD,https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Bachelor Biryani,8,Chicken Dum Biryani - Bachelor,"Flavorful Chicken Dum Biryani cooked with aromatic spices, served with raita.",₹165/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/08/19/d8ed5ae2-94d2-4e08-9be0-b4445613a5f5..png,Add,"AddChicken Dum Biryani - BachelorFlavorful Chicken Dum Biryani cooked with aromatic spices, served with raita. ₹165/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Bachelor Biryani,9,Egg Dum Biryani - Bachelor,"Flavorful Egg Dum Biryani cooked with aromatic spices, served with refreshing raita.",₹155/-,Non-Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/08/19/3a560ba8-5e9e-4495-937e-dc0d29b77fa9..png,Add,"AddEgg Dum Biryani - BachelorFlavorful Egg Dum Biryani cooked with aromatic spices, served with refreshing raita. ₹155/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Bachelor Biryani,10,Veg Dum Biryani - Bachelor,"Flavorful Veg Dum Biryani cooked with aromatic spices, served with refreshing raita.",₹145/-,Veg,https://cdn.urbanpiper.com/media/bizmedia/2025/08/19/58510a83-249c-43c4-b468-d2b7adbdfe64..png,Add,"AddVeg Dum Biryani - BachelorFlavorful Veg Dum Biryani cooked with aromatic spices, served with refreshing raita. ₹145/-DetailsADD",https://www.barbequenation.com/ubq-delivery,2026-07-22T18:17:02.317Z
